"Broker_Code","Broker_Name","Branch_Code","Branch_Name"
"6010","(牛牛牛)亞證券","6010","(牛牛牛)亞證券"
"6010","(牛牛牛)亞證券","6012","(牛牛牛)亞-網路"
"6010","(牛牛牛)亞證券","0036003000310064","(牛牛牛)亞-鑫豐"
"6620","口袋證券","6620","口袋證券"
"1030","土銀","1030","土銀"
"1030","土銀","1039","土銀-士林"
"1030","土銀","1031","土銀-台中"
"1030","土銀","1032","土銀-台南"
"1030","土銀","1036","土銀-玉里"
"1030","土銀","0031003000330043","土銀-白河"
"1030","土銀","1038","土銀-和平"
"1030","土銀","1037","土銀-花蓮"
"1030","土銀","0031003000330046","土銀-南港"
"1030","土銀","0031003000330041","土銀-建國"
"1030","土銀","1033","土銀-高雄"
"1030","土銀","1035","土銀-新竹"
"1030","土銀","1034","土銀-嘉義"
"1030","土銀","0031003000330042","土銀-彰化"
"8890","大和國泰","8890","大和國泰"
"6460","大昌","6460","大昌"
"6460","大昌","6462","大昌-安康"
"6460","大昌","6465","大昌-桃園"
"6460","大昌","6463","大昌-新竹"
"6460","大昌","6464","大昌-新店"
"6460","大昌","6461","大昌-樹林"
"5050","大展","5050","大展"
"5050","大展","5058","大展-台南"
"6160","中國信託","6160","中國信託"
"6160","中國信託","6161","中國信託-三重"
"6160","中國信託","0036003100360041","中國信託-中壢"
"6160","中國信託","6164","中國信託-文心"
"6160","中國信託","6163","中國信託-永康"
"6160","中國信託","6162","中國信託-忠孝"
"6160","中國信託","6167","中國信託-松江"
"6160","中國信託","003600310036004b","中國信託-高雄"
"6160","中國信託","6165","中國信託-新竹"
"6160","中國信託","6168","中國信託-嘉義"
"8520","中農","8520","中農"
"9800","元大","9800","元大證券"
"9800","元大","9813","元大-八德"
"9800","元大","0039003800380043","元大-三重"
"9800","元大","0039003800330047","元大-上新莊"
"9800","元大","9897","元大-土城"
"9800","元大","9875","元大-土城永寧"
"9800","元大","9822","元大-土城學府"
"9800","元大","003900380031006a","元大-士林"
"9800","元大","9893","元大-大天母"
"9800","元大","0039003800390055","元大-大甲"
"9800","元大","0039003800390047","元大-大同"
"9800","元大","003900380033004e","元大-大安"
"9800","元大","0039003800310067","元大-大里"
"9800","元大","0039003800330057","元大-大里德芳"
"9800","元大","9846","元大-大直"
"9800","元大","9814","元大-大益"
"9800","元大","003900380031007a","元大-大統"
"9800","元大","0039003800330069","元大-大雅"
"9800","元大","9815","元大-大灣"
"9800","元大","003900380039005a","元大-小港"
"9800","元大","0039003800300061","元大-中山北路"
