Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
3710,連展投控,40,0,40,元富-中壢,2023-01-03,003500390032004c
1701,中化,29,2,27,元富-中壢,2023-01-03,003500390032004c
00665L,富邦�琤肭磪囓�2,37,15,22,元富-中壢,2023-01-03,003500390032004c
5014,建錩,20,0,20,元富-中壢,2023-01-03,003500390032004c
2609,陽明,33,21,12,元富-中壢,2023-01-03,003500390032004c
1605,華新,13,2,11,元富-中壢,2023-01-03,003500390032004c
2884,玉山金,10,0,10,元富-中壢,2023-01-03,003500390032004c
2330,台積電,10,0,10,元富-中壢,2023-01-03,003500390032004c
2457,飛宏,10,0,10,元富-中壢,2023-01-03,003500390032004c
2611,志信,10,0,10,元富-中壢,2023-01-03,003500390032004c
3708,上緯投控,10,0,10,元富-中壢,2023-01-03,003500390032004c
6180,橘子,13,3,10,元富-中壢,2023-01-03,003500390032004c
00637L,元大滬深300正2,50,41,9,元富-中壢,2023-01-03,003500390032004c
9919,康那香,20,11,9,元富-中壢,2023-01-03,003500390032004c
4162,智擎,18,10,8,元富-中壢,2023-01-03,003500390032004c
4755,三福化,7,0,7,元富-中壢,2023-01-03,003500390032004c
2317,鴻海,28,22,6,元富-中壢,2023-01-03,003500390032004c
00882,中信中國高股息,6,0,6,元富-中壢,2023-01-03,003500390032004c
4950,牧東,6,0,6,元富-中壢,2023-01-03,003500390032004c
6282,康舒,6,0,6,元富-中壢,2023-01-03,003500390032004c
2633,台灣高鐵,5,0,5,元富-中壢,2023-01-03,003500390032004c
6806,森崴能源,37,32,5,元富-中壢,2023-01-03,003500390032004c
00673R,期元大S＆P原油反1,5,0,5,元富-中壢,2023-01-03,003500390032004c
00753L,中信中國50正2,5,0,5,元富-中壢,2023-01-03,003500390032004c
2382,廣達,5,0,5,元富-中壢,2023-01-03,003500390032004c
2489,瑞軒,5,0,5,元富-中壢,2023-01-03,003500390032004c
2801,彰銀,5,0,5,元富-中壢,2023-01-03,003500390032004c
3025,星通,5,0,5,元富-中壢,2023-01-03,003500390032004c
3390,旭軟,5,0,5,元富-中壢,2023-01-03,003500390032004c
3526,凡甲,5,0,5,元富-中壢,2023-01-03,003500390032004c
00881,國泰台灣5G+,4,0,4,元富-中壢,2023-01-03,003500390032004c
3128,昇銳,8,4,4,元富-中壢,2023-01-03,003500390032004c
6111,大宇資,6,2,4,元富-中壢,2023-01-03,003500390032004c
00878,國泰永續高股息,4,0,4,元富-中壢,2023-01-03,003500390032004c
1314,中石化,3,0,3,元富-中壢,2023-01-03,003500390032004c
2929,淘帝-KY,3,0,3,元富-中壢,2023-01-03,003500390032004c
4580,捷流閥業,3,0,3,元富-中壢,2023-01-03,003500390032004c
8931,大汽電,3,0,3,元富-中壢,2023-01-03,003500390032004c
1560,中砂,3,1,2,元富-中壢,2023-01-03,003500390032004c
1752,南光,2,0,2,元富-中壢,2023-01-03,003500390032004c
1760,寶齡富錦,2,0,2,元富-中壢,2023-01-03,003500390032004c
2038,海光,2,0,2,元富-中壢,2023-01-03,003500390032004c
2337,旺宏,2,0,2,元富-中壢,2023-01-03,003500390032004c
2641,正德,2,0,2,元富-中壢,2023-01-03,003500390032004c
3122,笙泉,2,0,2,元富-中壢,2023-01-03,003500390032004c
3419,譁裕,2,0,2,元富-中壢,2023-01-03,003500390032004c
4121,優盛,2,0,2,元富-中壢,2023-01-03,003500390032004c
4133,亞諾法,2,0,2,元富-中壢,2023-01-03,003500390032004c
4564,元翎,2,0,2,元富-中壢,2023-01-03,003500390032004c
4919,新唐,2,0,2,元富-中壢,2023-01-03,003500390032004c
00715L,期街口布蘭特正2,102,1,101,元富-中壢,2023-01-04,003500390032004c
0056,元大高股息,45,0,45,元富-中壢,2023-01-04,003500390032004c
00688L,國泰20年美債正2,40,0,40,元富-中壢,2023-01-04,003500390032004c
3272,東碩,36,1,35,元富-中壢,2023-01-04,003500390032004c
1714,和桐,30,0,30,元富-中壢,2023-01-04,003500390032004c
2007,燁興,30,1,29,元富-中壢,2023-01-04,003500390032004c
3027,盛達,47,24,23,元富-中壢,2023-01-04,003500390032004c
3708,上緯投控,26,4,22,元富-中壢,2023-01-04,003500390032004c
00680L,元大美債20正2,20,0,20,元富-中壢,2023-01-04,003500390032004c
6244,茂迪,21,1,20,元富-中壢,2023-01-04,003500390032004c
3047,訊舟,18,0,18,元富-中壢,2023-01-04,003500390032004c
4541,晟田,16,0,16,元富-中壢,2023-01-04,003500390032004c
6118,建達,22,7,15,元富-中壢,2023-01-04,003500390032004c
4162,智擎,12,0,12,元富-中壢,2023-01-04,003500390032004c
2884,玉山金,11,0,11,元富-中壢,2023-01-04,003500390032004c
2609,陽明,21,10,11,元富-中壢,2023-01-04,003500390032004c
2611,志信,11,0,11,元富-中壢,2023-01-04,003500390032004c
00878,國泰永續高股息,12,2,10,元富-中壢,2023-01-04,003500390032004c
4979,華星光,9,1,8,元富-中壢,2023-01-04,003500390032004c
4768,晶呈科技,6,0,6,元富-中壢,2023-01-04,003500390032004c
2317,鴻海,9,3,6,元富-中壢,2023-01-04,003500390032004c
3037,欣興,5,0,5,元富-中壢,2023-01-04,003500390032004c
00650L,復華香港正2,135,130,5,元富-中壢,2023-01-04,003500390032004c
2355,敬鵬,5,0,5,元富-中壢,2023-01-04,003500390032004c
3479,安勤,5,0,5,元富-中壢,2023-01-04,003500390032004c
4950,牧東,5,0,5,元富-中壢,2023-01-04,003500390032004c
8215,明基材,5,0,5,元富-中壢,2023-01-04,003500390032004c
00893,國泰智能電動車,4,0,4,元富-中壢,2023-01-04,003500390032004c
1217,愛之味,5,1,4,元富-中壢,2023-01-04,003500390032004c
1210,大成,4,0,4,元富-中壢,2023-01-04,003500390032004c
2498,宏達電,4,0,4,元富-中壢,2023-01-04,003500390032004c
2867,三商壽,4,0,4,元富-中壢,2023-01-04,003500390032004c
3059,華晶科,4,0,4,元富-中壢,2023-01-04,003500390032004c
4114,健喬,10,6,4,元富-中壢,2023-01-04,003500390032004c
4755,三福化,4,0,4,元富-中壢,2023-01-04,003500390032004c
2603,長榮,4,1,3,元富-中壢,2023-01-04,003500390032004c
2303,聯電,7,4,3,元富-中壢,2023-01-04,003500390032004c
2886,兆豐金,3,0,3,元富-中壢,2023-01-04,003500390032004c
00631L,元大台灣50正2,3,0,3,元富-中壢,2023-01-04,003500390032004c
2515,中工,3,0,3,元富-中壢,2023-01-04,003500390032004c
2610,華航,3,0,3,元富-中壢,2023-01-04,003500390032004c
2636,台驊控股,3,0,3,元富-中壢,2023-01-04,003500390032004c
5015,華祺,3,0,3,元富-中壢,2023-01-04,003500390032004c
6461,益得,3,0,3,元富-中壢,2023-01-04,003500390032004c
6712,長聖,3,0,3,元富-中壢,2023-01-04,003500390032004c
1101,台泥,2,0,2,元富-中壢,2023-01-04,003500390032004c
1513,中興電,28,26,2,元富-中壢,2023-01-04,003500390032004c
1760,寶齡富錦,2,0,2,元富-中壢,2023-01-04,003500390032004c
1905,華紙,2,0,2,元富-中壢,2023-01-04,003500390032004c
2206,三陽工業,2,0,2,元富-中壢,2023-01-04,003500390032004c
2929,淘帝-KY,32,0,32,元富-中壢,2023-01-05,003500390032004c
2368,金像電,55,32,23,元富-中壢,2023-01-05,003500390032004c
4171,瑞基,22,1,21,元富-中壢,2023-01-05,003500390032004c
6118,建達,22,2,20,元富-中壢,2023-01-05,003500390032004c
6160,欣技,20,0,20,元富-中壢,2023-01-05,003500390032004c
1529,樂事綠能,43,27,16,元富-中壢,2023-01-05,003500390032004c
3297,杭特,15,0,15,元富-中壢,2023-01-05,003500390032004c
6244,茂迪,12,0,12,元富-中壢,2023-01-05,003500390032004c
1314,中石化,10,0,10,元富-中壢,2023-01-05,003500390032004c
3576,聯合再生,10,0,10,元富-中壢,2023-01-05,003500390032004c
5381,合正,10,0,10,元富-中壢,2023-01-05,003500390032004c
2317,鴻海,10,1,9,元富-中壢,2023-01-05,003500390032004c
1701,中化,9,0,9,元富-中壢,2023-01-05,003500390032004c
3710,連展投控,10,1,9,元富-中壢,2023-01-05,003500390032004c
4763,材料-KY,10,1,9,元富-中壢,2023-01-05,003500390032004c
00637L,元大滬深300正2,11,4,7,元富-中壢,2023-01-05,003500390032004c
1584,精剛,7,0,7,元富-中壢,2023-01-05,003500390032004c
3705,永信,7,0,7,元富-中壢,2023-01-05,003500390032004c
5009,榮剛,9,2,7,元富-中壢,2023-01-05,003500390032004c
6202,盛群,7,0,7,元富-中壢,2023-01-05,003500390032004c
00642U,期元大S＆P石油,10,4,6,元富-中壢,2023-01-05,003500390032004c
00638R,元大滬深300反1,6,0,6,元富-中壢,2023-01-05,003500390032004c
1519,華城,29,23,6,元富-中壢,2023-01-05,003500390032004c
1609,大亞,5,0,5,元富-中壢,2023-01-05,003500390032004c
2610,華航,5,0,5,元富-中壢,2023-01-05,003500390032004c
1103,嘉泥,5,0,5,元富-中壢,2023-01-05,003500390032004c
1504,東元,6,1,5,元富-中壢,2023-01-05,003500390032004c
2867,三商壽,5,0,5,元富-中壢,2023-01-05,003500390032004c
3025,星通,5,0,5,元富-中壢,2023-01-05,003500390032004c
00878,國泰永續高股息,5,0,5,元富-中壢,2023-01-05,003500390032004c
2308,台達電,4,0,4,元富-中壢,2023-01-05,003500390032004c
00882,中信中國高股息,4,0,4,元富-中壢,2023-01-05,003500390032004c
00634R,富邦上証反1,4,0,4,元富-中壢,2023-01-05,003500390032004c
00666R,富邦�琤肭磪齯�1,4,0,4,元富-中壢,2023-01-05,003500390032004c
2359,所羅門,4,0,4,元富-中壢,2023-01-05,003500390032004c
2419,仲琦,8,4,4,元富-中壢,2023-01-05,003500390032004c
2611,志信,4,0,4,元富-中壢,2023-01-05,003500390032004c
6530,創威,14,10,4,元富-中壢,2023-01-05,003500390032004c
2834,臺企銀,3,0,3,元富-中壢,2023-01-05,003500390032004c
1605,華新,5,2,3,元富-中壢,2023-01-05,003500390032004c
00679B,元大美債20年,3,0,3,元富-中壢,2023-01-05,003500390032004c
1736,喬山,3,0,3,元富-中壢,2023-01-05,003500390032004c
2201,裕隆,5,2,3,元富-中壢,2023-01-05,003500390032004c
2495,普安,3,0,3,元富-中壢,2023-01-05,003500390032004c
6441,廣錠,6,3,3,元富-中壢,2023-01-05,003500390032004c
6695,芯鼎,3,0,3,元富-中壢,2023-01-05,003500390032004c
6806,森崴能源,27,24,3,元富-中壢,2023-01-05,003500390032004c
00773B,中信優先金融債,2,0,2,元富-中壢,2023-01-05,003500390032004c
