Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
2317,鴻海,75,3,72,元富-新興,2023-01-03,003500390032006f
1513,中興電,92,33,59,元富-新興,2023-01-03,003500390032006f
1519,華城,65,20,45,元富-新興,2023-01-03,003500390032006f
00671R,富邦NASDAQ反1,30,0,30,元富-新興,2023-01-03,003500390032006f
00648R,元大S＆P500反1,30,0,30,元富-新興,2023-01-03,003500390032006f
2371,大同,30,0,30,元富-新興,2023-01-03,003500390032006f
1402,遠東新,71,44,27,元富-新興,2023-01-03,003500390032006f
00673R,期元大S＆P原油反1,23,0,23,元富-新興,2023-01-03,003500390032006f
3083,網龍,28,5,23,元富-新興,2023-01-03,003500390032006f
2495,普安,21,0,21,元富-新興,2023-01-03,003500390032006f
00632R,元大台灣50反1,40,20,20,元富-新興,2023-01-03,003500390032006f
6180,橘子,29,10,19,元富-新興,2023-01-03,003500390032006f
4153,鈺緯,20,2,18,元富-新興,2023-01-03,003500390032006f
2633,台灣高鐵,17,0,17,元富-新興,2023-01-03,003500390032006f
8046,南電,20,3,17,元富-新興,2023-01-03,003500390032006f
3035,智原,116,100,16,元富-新興,2023-01-03,003500390032006f
00772B,中信高評級公司債,15,0,15,元富-新興,2023-01-03,003500390032006f
2548,華固,15,0,15,元富-新興,2023-01-03,003500390032006f
00664R,國泰臺灣加權反1,34,20,14,元富-新興,2023-01-03,003500390032006f
2498,宏達電,32,18,14,元富-新興,2023-01-03,003500390032006f
2634,漢翔,14,1,13,元富-新興,2023-01-03,003500390032006f
00878,國泰永續高股息,15,2,13,元富-新興,2023-01-03,003500390032006f
3024,憶聲,13,0,13,元富-新興,2023-01-03,003500390032006f
1609,大亞,15,3,12,元富-新興,2023-01-03,003500390032006f
2812,台中銀,12,0,12,元富-新興,2023-01-03,003500390032006f
4102,永日,16,5,11,元富-新興,2023-01-03,003500390032006f
8033,雷虎,11,0,11,元富-新興,2023-01-03,003500390032006f
00637L,元大滬深300正2,17,7,10,元富-新興,2023-01-03,003500390032006f
1313,聯成,10,0,10,元富-新興,2023-01-03,003500390032006f
2101,南港,10,0,10,元富-新興,2023-01-03,003500390032006f
2388,威盛,17,7,10,元富-新興,2023-01-03,003500390032006f
2809,京城銀,10,0,10,元富-新興,2023-01-03,003500390032006f
2849,安泰銀,10,0,10,元富-新興,2023-01-03,003500390032006f
1605,華新,51,43,8,元富-新興,2023-01-03,003500390032006f
1101,台泥,8,0,8,元富-新興,2023-01-03,003500390032006f
1720,生達,8,1,7,元富-新興,2023-01-03,003500390032006f
3705,永信,8,1,7,元富-新興,2023-01-03,003500390032006f
9802,鈺齊-KY,7,0,7,元富-新興,2023-01-03,003500390032006f
00753L,中信中國50正2,9,3,6,元富-新興,2023-01-03,003500390032006f
