Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
00878,國泰永續高股息,161,17,144,玉山-數位,2023-01-03,003800380034004d
00665L,富邦�琤肭磪囓�2,35,0,35,玉山-數位,2023-01-03,003800380034004d
0056,元大高股息,36,7,29,玉山-數位,2023-01-03,003800380034004d
2884,玉山金,25,1,24,玉山-數位,2023-01-03,003800380034004d
00882,中信中國高股息,24,0,24,玉山-數位,2023-01-03,003800380034004d
2886,兆豐金,24,1,23,玉山-數位,2023-01-03,003800380034004d
00885,富邦越南,25,2,23,玉山-數位,2023-01-03,003800380034004d
2610,華航,23,2,21,玉山-數位,2023-01-03,003800380034004d
2317,鴻海,23,4,19,玉山-數位,2023-01-03,003800380034004d
1605,華新,35,20,15,玉山-數位,2023-01-03,003800380034004d
2609,陽明,24,9,15,玉山-數位,2023-01-03,003800380034004d
00679B,元大美債20年,15,0,15,玉山-數位,2023-01-03,003800380034004d
006208,富邦台50,14,1,13,玉山-數位,2023-01-03,003800380034004d
2208,台船,12,0,12,玉山-數位,2023-01-03,003800380034004d
00900,富邦特選高股息30,11,1,10,玉山-數位,2023-01-03,003800380034004d
0050,元大台灣50,18,8,10,玉山-數位,2023-01-03,003800380034004d
2882,國泰金,22,12,10,玉山-數位,2023-01-03,003800380034004d
2887,台新金,13,4,9,玉山-數位,2023-01-03,003800380034004d
00905,FT臺灣Smart,10,1,9,玉山-數位,2023-01-03,003800380034004d
2743,山富,36,27,9,玉山-數位,2023-01-03,003800380034004d
2890,永豐金,9,0,9,玉山-數位,2023-01-03,003800380034004d
4114,健喬,39,31,8,玉山-數位,2023-01-03,003800380034004d
1101,台泥,10,1,9,玉山-數位,2023-01-03,003800380034004d
00902,中信電池及儲能,9,0,9,玉山-數位,2023-01-03,003800380034004d
00712,復華富時不動產,9,1,8,玉山-數位,2023-01-03,003800380034004d
00772B,中信高評級公司債,8,0,8,玉山-數位,2023-01-03,003800380034004d
3290,東浦,8,0,8,玉山-數位,2023-01-03,003800380034004d
00713,元大台灣高息低波,6,0,6,玉山-數位,2023-01-03,003800380034004d
3576,聯合再生,6,0,6,玉山-數位,2023-01-03,003800380034004d
8403,盛弘,5,0,5,玉山-數位,2023-01-03,003800380034004d
5607,遠雄港,5,0,5,玉山-數位,2023-01-03,003800380034004d
2929,淘帝-KY,6,1,5,玉山-數位,2023-01-03,003800380034004d
4127,天良,5,0,5,玉山-數位,2023-01-03,003800380034004d
1312,國喬,5,0,5,玉山-數位,2023-01-03,003800380034004d
6186,新潤,5,0,5,玉山-數位,2023-01-03,003800380034004d
5880,合庫金,6,2,4,玉山-數位,2023-01-03,003800380034004d
2201,裕隆,23,18,5,玉山-數位,2023-01-03,003800380034004d
00662,富邦NASDAQ,4,0,4,玉山-數位,2023-01-03,003800380034004d
1795,美時,7,3,4,玉山-數位,2023-01-03,003800380034004d
6235,華孚,4,0,4,玉山-數位,2023-01-03,003800380034004d
6214,精誠,4,0,4,玉山-數位,2023-01-03,003800380034004d
2364,倫飛,12,8,4,玉山-數位,2023-01-03,003800380034004d
2449,京元電子,3,0,3,玉山-數位,2023-01-03,003800380034004d
00907,永豐優息存股,3,0,3,玉山-數位,2023-01-03,003800380034004d
2063,世鎧,3,0,3,玉山-數位,2023-01-03,003800380034004d
00631L,元大台灣50正2,3,0,3,玉山-數位,2023-01-03,003800380034004d
2489,瑞軒,3,0,3,玉山-數位,2023-01-03,003800380034004d
2329,華泰,3,0,3,玉山-數位,2023-01-03,003800380034004d
2380,虹光,3,0,3,玉山-數位,2023-01-03,003800380034004d
1732,毛寶,3,0,3,玉山-數位,2023-01-03,003800380034004d
2884,玉山金,62,16,46,玉山-數位,2023-01-04,003800380034004d
2317,鴻海,44,2,42,玉山-數位,2023-01-04,003800380034004d
00878,國泰永續高股息,56,18,38,玉山-數位,2023-01-04,003800380034004d
0056,元大高股息,40,4,36,玉山-數位,2023-01-04,003800380034004d
1101,台泥,37,2,35,玉山-數位,2023-01-04,003800380034004d
1909,榮成,33,2,31,玉山-數位,2023-01-04,003800380034004d
3630,新鉅科,25,0,25,玉山-數位,2023-01-04,003800380034004d
6227,茂綸,20,0,20,玉山-數位,2023-01-04,003800380034004d
00706L,期元大S＆P日圓正2,18,2,16,玉山-數位,2023-01-04,003800380034004d
8476,台境*,16,0,16,玉山-數位,2023-01-04,003800380034004d
0050,元大台灣50,13,1,12,玉山-數位,2023-01-04,003800380034004d
2303,聯電,12,0,12,玉山-數位,2023-01-04,003800380034004d
2465,麗臺,92,81,11,玉山-數位,2023-01-04,003800380034004d
00713,元大台灣高息低波,11,0,11,玉山-數位,2023-01-04,003800380034004d
6438,迅得,11,0,11,玉山-數位,2023-01-04,003800380034004d
006208,富邦台50,11,0,11,玉山-數位,2023-01-04,003800380034004d
00830,國泰費城半導體,10,0,10,玉山-數位,2023-01-04,003800380034004d
00679B,元大美債20年,10,0,10,玉山-數位,2023-01-04,003800380034004d
1906,寶隆,10,0,10,玉山-數位,2023-01-04,003800380034004d
3537,堡達,10,0,10,玉山-數位,2023-01-04,003800380034004d
3037,欣興,17,7,10,玉山-數位,2023-01-04,003800380034004d
2609,陽明,12,4,8,玉山-數位,2023-01-04,003800380034004d
3447,展達,10,2,8,玉山-數位,2023-01-04,003800380034004d
00902,中信電池及儲能,7,0,7,玉山-數位,2023-01-04,003800380034004d
6806,森崴能源,21,14,7,玉山-數位,2023-01-04,003800380034004d
2603,長榮,8,1,7,玉山-數位,2023-01-04,003800380034004d
00893,國泰智能電動車,12,6,6,玉山-數位,2023-01-04,003800380034004d
2498,宏達電,21,15,6,玉山-數位,2023-01-04,003800380034004d
6133,金橋,6,0,6,玉山-數位,2023-01-04,003800380034004d
3005,神基,6,0,6,玉山-數位,2023-01-04,003800380034004d
8046,南電,20,14,6,玉山-數位,2023-01-04,003800380034004d
00772B,中信高評級公司債,5,0,5,玉山-數位,2023-01-04,003800380034004d
1760,寶齡富錦,16,11,5,玉山-數位,2023-01-04,003800380034004d
3535,晶彩科,5,0,5,玉山-數位,2023-01-04,003800380034004d
6288,聯嘉,5,0,5,玉山-數位,2023-01-04,003800380034004d
2501,國建,5,0,5,玉山-數位,2023-01-04,003800380034004d
1316,上曜,5,0,5,玉山-數位,2023-01-04,003800380034004d
2611,志信,5,0,5,玉山-數位,2023-01-04,003800380034004d
1314,中石化,5,0,5,玉山-數位,2023-01-04,003800380034004d
2883,凱基金,5,0,5,玉山-數位,2023-01-04,003800380034004d
1216,統一,5,0,5,玉山-數位,2023-01-04,003800380034004d
8996,高力,14,10,4,玉山-數位,2023-01-04,003800380034004d
2002,中鋼,9,5,4,玉山-數位,2023-01-04,003800380034004d
4931,新盛力,4,0,4,玉山-數位,2023-01-04,003800380034004d
4114,健喬,22,18,4,玉山-數位,2023-01-04,003800380034004d
2601,益航,4,0,4,玉山-數位,2023-01-04,003800380034004d
4157,太景*-KY,4,0,4,玉山-數位,2023-01-04,003800380034004d
2637,慧洋-KY,9,5,4,玉山-數位,2023-01-04,003800380034004d
2889,國票金,4,0,4,玉山-數位,2023-01-04,003800380034004d
1609,大亞,15,11,4,玉山-數位,2023-01-04,003800380034004d
00878,國泰永續高股息,170,105,65,玉山-數位,2023-01-05,003800380034004d
0056,元大高股息,66,9,57,玉山-數位,2023-01-05,003800380034004d
2317,鴻海,33,3,30,玉山-數位,2023-01-05,003800380034004d
006208,富邦台50,31,2,29,玉山-數位,2023-01-05,003800380034004d
3447,展達,23,0,23,玉山-數位,2023-01-05,003800380034004d
0050,元大台灣50,24,2,22,玉山-數位,2023-01-05,003800380034004d
3047,訊舟,22,2,20,玉山-數位,2023-01-05,003800380034004d
3704,合勤控,48,31,17,玉山-數位,2023-01-05,003800380034004d
00885,富邦越南,29,13,16,玉山-數位,2023-01-05,003800380034004d
00713,元大台灣高息低波,15,0,15,玉山-數位,2023-01-05,003800380034004d
912000,晨訊科-DR,15,0,15,玉山-數位,2023-01-05,003800380034004d
2609,陽明,20,5,15,玉山-數位,2023-01-05,003800380034004d
00715L,期街口布蘭特正2,14,0,14,玉山-數位,2023-01-05,003800380034004d
1519,華城,66,53,13,玉山-數位,2023-01-05,003800380034004d
00900,富邦特選高股息30,13,0,13,玉山-數位,2023-01-05,003800380034004d
2610,華航,19,7,12,玉山-數位,2023-01-05,003800380034004d
5009,榮剛,12,0,12,玉山-數位,2023-01-05,003800380034004d
00725B,國泰投資級公司債,11,0,11,玉山-數位,2023-01-05,003800380034004d
6245,立端,12,1,11,玉山-數位,2023-01-05,003800380034004d
8046,南電,14,4,10,玉山-數位,2023-01-05,003800380034004d
6227,茂綸,10,0,10,玉山-數位,2023-01-05,003800380034004d
00679B,元大美債20年,10,0,10,玉山-數位,2023-01-05,003800380034004d
2455,全新,13,3,10,玉山-數位,2023-01-05,003800380034004d
6443,元晶,13,3,10,玉山-數位,2023-01-05,003800380034004d
2338,光罩,9,0,9,玉山-數位,2023-01-05,003800380034004d
5351,鈺創,11,3,8,玉山-數位,2023-01-05,003800380034004d
3034,聯詠,13,5,8,玉山-數位,2023-01-05,003800380034004d
3035,智原,9,1,8,玉山-數位,2023-01-05,003800380034004d
2618,長榮航,18,10,8,玉山-數位,2023-01-05,003800380034004d
3228,金麗科,7,0,7,玉山-數位,2023-01-05,003800380034004d
00706L,期元大S＆P日圓正2,7,0,7,玉山-數位,2023-01-05,003800380034004d
2867,三商壽,7,0,7,玉山-數位,2023-01-05,003800380034004d
2884,玉山金,10,3,7,玉山-數位,2023-01-05,003800380034004d
6806,森崴能源,8,1,7,玉山-數位,2023-01-05,003800380034004d
00881,國泰台灣5G+,7,1,6,玉山-數位,2023-01-05,003800380034004d
6133,金橋,6,0,6,玉山-數位,2023-01-05,003800380034004d
00772B,中信高評級公司債,6,0,6,玉山-數位,2023-01-05,003800380034004d
00757,統一FANG+,6,0,6,玉山-數位,2023-01-05,003800380034004d
1605,華新,58,53,5,玉山-數位,2023-01-05,003800380034004d
3272,東碩,19,14,5,玉山-數位,2023-01-05,003800380034004d
2915,潤泰全,5,0,5,玉山-數位,2023-01-05,003800380034004d
2409,友達,29,24,5,玉山-數位,2023-01-05,003800380034004d
8044,網家,38,33,5,玉山-數位,2023-01-05,003800380034004d
00720B,元大投資級公司債,5,0,5,玉山-數位,2023-01-05,003800380034004d
6143,振曜,13,8,5,玉山-數位,2023-01-05,003800380034004d
8420,明揚,5,0,5,玉山-數位,2023-01-05,003800380034004d
1524,耿鼎,7,2,5,玉山-數位,2023-01-05,003800380034004d
00893,國泰智能電動車,5,1,4,玉山-數位,2023-01-05,003800380034004d
2890,永豐金,4,0,4,玉山-數位,2023-01-05,003800380034004d
00773B,中信優先金融債,4,0,4,玉山-數位,2023-01-05,003800380034004d
00885,富邦越南,42,4,38,玉山-數位,2023-01-06,003800380034004d
00720B,元大投資級公司債,34,0,34,玉山-數位,2023-01-06,003800380034004d
00878,國泰永續高股息,78,45,33,玉山-數位,2023-01-06,003800380034004d
3704,合勤控,53,26,27,玉山-數位,2023-01-06,003800380034004d
3447,展達,21,0,21,玉山-數位,2023-01-06,003800380034004d
2884,玉山金,22,2,20,玉山-數位,2023-01-06,003800380034004d
00772B,中信高評級公司債,11,0,11,玉山-數位,2023-01-06,003800380034004d
00893,國泰智能電動車,11,0,11,玉山-數位,2023-01-06,003800380034004d
2885,元大金,10,0,10,玉山-數位,2023-01-06,003800380034004d
2614,東森,30,20,10,玉山-數位,2023-01-06,003800380034004d
2104,國際中橡,9,0,9,玉山-數位,2023-01-06,003800380034004d
00712,復華富時不動產,10,1,9,玉山-數位,2023-01-06,003800380034004d
00632R,元大台灣50反1,18,10,8,玉山-數位,2023-01-06,003800380034004d
4114,健喬,48,41,7,玉山-數位,2023-01-06,003800380034004d
2610,華航,17,10,7,玉山-數位,2023-01-06,003800380034004d
1802,台玻,29,22,7,玉山-數位,2023-01-06,003800380034004d
