Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
00632R,元大台灣50反1,1146,261,885,國泰-板橋,2023-01-03,003800380038004b
2498,宏達電,336,116,220,國泰-板橋,2023-01-03,003800380038004b
00878,國泰永續高股息,319,146,173,國泰-板橋,2023-01-03,003800380038004b
00680L,元大美債20正2,142,0,142,國泰-板橋,2023-01-03,003800380038004b
00712,復華富時不動產,132,1,131,國泰-板橋,2023-01-03,003800380038004b
00900,富邦特選高股息30,131,4,127,國泰-板橋,2023-01-03,003800380038004b
1909,榮成,129,8,121,國泰-板橋,2023-01-03,003800380038004b
2317,鴻海,200,80,120,國泰-板橋,2023-01-03,003800380038004b
00637L,元大滬深300正2,313,199,114,國泰-板橋,2023-01-03,003800380038004b
5009,榮剛,115,24,91,國泰-板橋,2023-01-03,003800380038004b
1605,華新,248,164,84,國泰-板橋,2023-01-03,003800380038004b
2867,三商壽,73,9,64,國泰-板橋,2023-01-03,003800380038004b
2929,淘帝-KY,73,12,61,國泰-板橋,2023-01-03,003800380038004b
1752,南光,112,52,60,國泰-板橋,2023-01-03,003800380038004b
2376,技嘉,108,49,59,國泰-板橋,2023-01-03,003800380038004b
1701,中化,130,81,49,國泰-板橋,2023-01-03,003800380038004b
2330,台積電,86,37,49,國泰-板橋,2023-01-03,003800380038004b
00673R,期元大S＆P原油反1,47,0,47,國泰-板橋,2023-01-03,003800380038004b
2609,陽明,110,66,44,國泰-板橋,2023-01-03,003800380038004b
4743,合一,53,10,43,國泰-板橋,2023-01-03,003800380038004b
00720B,元大投資級公司債,41,1,40,國泰-板橋,2023-01-03,003800380038004b
00772B,中信高評級公司債,38,0,38,國泰-板橋,2023-01-03,003800380038004b
4155,訊映,44,9,35,國泰-板橋,2023-01-03,003800380038004b
9919,康那香,68,34,34,國泰-板橋,2023-01-03,003800380038004b
00679B,元大美債20年,33,0,33,國泰-板橋,2023-01-03,003800380038004b
6153,嘉聯益,49,18,31,國泰-板橋,2023-01-03,003800380038004b
00885,富邦越南,47,17,30,國泰-板橋,2023-01-03,003800380038004b
0050,元大台灣50,53,24,29,國泰-板橋,2023-01-03,003800380038004b
2399,映泰,95,66,29,國泰-板橋,2023-01-03,003800380038004b
1720,生達,36,8,28,國泰-板橋,2023-01-03,003800380038004b
4977,眾達-KY,47,19,28,國泰-板橋,2023-01-03,003800380038004b
4167,松瑞藥,72,46,26,國泰-板橋,2023-01-03,003800380038004b
2495,普安,25,0,25,國泰-板橋,2023-01-03,003800380038004b
2104,國際中橡,27,3,24,國泰-板橋,2023-01-03,003800380038004b
2636,台驊控股,23,0,23,國泰-板橋,2023-01-03,003800380038004b
8112,至上,25,3,22,國泰-板橋,2023-01-03,003800380038004b
1101,台泥,27,5,22,國泰-板橋,2023-01-03,003800380038004b
2890,永豐金,21,0,21,國泰-板橋,2023-01-03,003800380038004b
00773B,中信優先金融債,21,0,21,國泰-板橋,2023-01-03,003800380038004b
1342,八貫,58,38,20,國泰-板橋,2023-01-03,003800380038004b
8261,富鼎,21,1,20,國泰-板橋,2023-01-03,003800380038004b
2851,中再保,26,6,20,國泰-板橋,2023-01-03,003800380038004b
6233,旺玖,23,3,20,國泰-板橋,2023-01-03,003800380038004b
00713,元大台灣高息低波,21,1,20,國泰-板橋,2023-01-03,003800380038004b
8933,愛地雅,45,26,19,國泰-板橋,2023-01-03,003800380038004b
5489,彩富,19,0,19,國泰-板橋,2023-01-03,003800380038004b
2388,威盛,72,53,19,國泰-板橋,2023-01-03,003800380038004b
2884,玉山金,25,7,18,國泰-板橋,2023-01-03,003800380038004b
2615,萬海,160,142,18,國泰-板橋,2023-01-03,003800380038004b
6244,茂迪,35,17,18,國泰-板橋,2023-01-03,003800380038004b
2104,國際中橡,195,0,195,國泰-板橋,2023-01-04,003800380038004b
1909,榮成,238,65,173,國泰-板橋,2023-01-04,003800380038004b
2317,鴻海,182,39,143,國泰-板橋,2023-01-04,003800380038004b
00680L,元大美債20正2,131,1,130,國泰-板橋,2023-01-04,003800380038004b
00893,國泰智能電動車,104,1,103,國泰-板橋,2023-01-04,003800380038004b
2884,玉山金,108,18,90,國泰-板橋,2023-01-04,003800380038004b
00679B,元大美債20年,110,23,87,國泰-板橋,2023-01-04,003800380038004b
00715L,期街口布蘭特正2,104,18,86,國泰-板橋,2023-01-04,003800380038004b
2454,聯發科,87,2,85,國泰-板橋,2023-01-04,003800380038004b
00900,富邦特選高股息30,83,0,83,國泰-板橋,2023-01-04,003800380038004b
2014,中鴻,76,3,73,國泰-板橋,2023-01-04,003800380038004b
0056,元大高股息,84,16,68,國泰-板橋,2023-01-04,003800380038004b
00753L,中信中國50正2,79,14,65,國泰-板橋,2023-01-04,003800380038004b
2303,聯電,103,38,65,國泰-板橋,2023-01-04,003800380038004b
8046,南電,98,36,62,國泰-板橋,2023-01-04,003800380038004b
00637L,元大滬深300正2,112,52,60,國泰-板橋,2023-01-04,003800380038004b
2609,陽明,109,59,50,國泰-板橋,2023-01-04,003800380038004b
6153,嘉聯益,65,16,49,國泰-板橋,2023-01-04,003800380038004b
3024,憶聲,43,0,43,國泰-板橋,2023-01-04,003800380038004b
00902,中信電池及儲能,41,1,40,國泰-板橋,2023-01-04,003800380038004b
3037,欣興,125,89,36,國泰-板橋,2023-01-04,003800380038004b
00664R,國泰臺灣加權反1,35,0,35,國泰-板橋,2023-01-04,003800380038004b
00888,永豐台灣ESG,32,1,31,國泰-板橋,2023-01-04,003800380038004b
4743,合一,43,12,31,國泰-板橋,2023-01-04,003800380038004b
1760,寶齡富錦,41,13,28,國泰-板橋,2023-01-04,003800380038004b
2603,長榮,64,37,27,國泰-板橋,2023-01-04,003800380038004b
2636,台驊控股,29,2,27,國泰-板橋,2023-01-04,003800380038004b
00641R,富邦日本反1,30,4,26,國泰-板橋,2023-01-04,003800380038004b
2328,廣宇,28,3,25,國泰-板橋,2023-01-04,003800380038004b
2338,光罩,46,22,24,國泰-板橋,2023-01-04,003800380038004b
1524,耿鼎,37,14,23,國泰-板橋,2023-01-04,003800380038004b
2610,華航,57,35,22,國泰-板橋,2023-01-04,003800380038004b
00642U,期元大S＆P石油,26,5,21,國泰-板橋,2023-01-04,003800380038004b
6269,台郡,20,0,20,國泰-板橋,2023-01-04,003800380038004b
2444,兆勁,27,7,20,國泰-板橋,2023-01-04,003800380038004b
6443,元晶,106,86,20,國泰-板橋,2023-01-04,003800380038004b
2002,中鋼,35,15,20,國泰-板橋,2023-01-04,003800380038004b
5015,華祺,23,4,19,國泰-板橋,2023-01-04,003800380038004b
5489,彩富,18,0,18,國泰-板橋,2023-01-04,003800380038004b
2886,兆豐金,18,0,18,國泰-板橋,2023-01-04,003800380038004b
6806,森崴能源,169,152,17,國泰-板橋,2023-01-04,003800380038004b
00881,國泰台灣5G+,21,5,16,國泰-板橋,2023-01-04,003800380038004b
8996,高力,76,60,16,國泰-板橋,2023-01-04,003800380038004b
00770,國泰北美科技,16,0,16,國泰-板橋,2023-01-04,003800380038004b
3189,景碩,23,7,16,國泰-板橋,2023-01-04,003800380038004b
3481,群創,99,84,15,國泰-板橋,2023-01-04,003800380038004b
1718,中纖,20,5,15,國泰-板橋,2023-01-04,003800380038004b
6541,泰福-KY,15,0,15,國泰-板橋,2023-01-04,003800380038004b
8076,伍豐,15,0,15,國泰-板橋,2023-01-04,003800380038004b
00878,國泰永續高股息,83,68,15,國泰-板橋,2023-01-04,003800380038004b
8933,愛地雅,344,6,338,國泰-板橋,2023-01-05,003800380038004b
00882,中信中國高股息,335,39,296,國泰-板橋,2023-01-05,003800380038004b
00632R,元大台灣50反1,355,187,168,國泰-板橋,2023-01-05,003800380038004b
00715L,期街口布蘭特正2,184,71,113,國泰-板橋,2023-01-05,003800380038004b
2317,鴻海,137,32,105,國泰-板橋,2023-01-05,003800380038004b
00885,富邦越南,107,33,74,國泰-板橋,2023-01-05,003800380038004b
