Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
00720B,元大投資級公司債,52,0,52,富邦-青埔,2023-01-03,003900360031004e
2609,陽明,60,9,51,富邦-青埔,2023-01-03,003900360031004e
4130,健亞,50,1,49,富邦-青埔,2023-01-03,003900360031004e
4977,眾達-KY,50,1,49,富邦-青埔,2023-01-03,003900360031004e
00878,國泰永續高股息,46,1,45,富邦-青埔,2023-01-03,003900360031004e
2615,萬海,43,4,39,富邦-青埔,2023-01-03,003900360031004e
2317,鴻海,51,23,28,富邦-青埔,2023-01-03,003900360031004e
8933,愛地雅,33,11,22,富邦-青埔,2023-01-03,003900360031004e
00670L,富邦NASDAQ正2,20,0,20,富邦-青埔,2023-01-03,003900360031004e
00888,永豐台灣ESG,20,0,20,富邦-青埔,2023-01-03,003900360031004e
00712,復華富時不動產,20,0,20,富邦-青埔,2023-01-03,003900360031004e
1605,華新,55,36,19,富邦-青埔,2023-01-03,003900360031004e
5425,台半,21,2,19,富邦-青埔,2023-01-03,003900360031004e
1519,華城,23,8,15,富邦-青埔,2023-01-03,003900360031004e
9904,寶成,15,0,15,富邦-青埔,2023-01-03,003900360031004e
00891,中信關鍵半導體,14,0,14,富邦-青埔,2023-01-03,003900360031004e
4979,華星光,14,0,14,富邦-青埔,2023-01-03,003900360031004e
4127,天良,12,0,12,富邦-青埔,2023-01-03,003900360031004e
1536,和大,12,0,12,富邦-青埔,2023-01-03,003900360031004e
2603,長榮,12,0,12,富邦-青埔,2023-01-03,003900360031004e
1701,中化,47,35,12,富邦-青埔,2023-01-03,003900360031004e
1444,力麗,11,0,11,富邦-青埔,2023-01-03,003900360031004e
1434,福懋,11,0,11,富邦-青埔,2023-01-03,003900360031004e
4114,健喬,19,9,10,富邦-青埔,2023-01-03,003900360031004e
2331,精英,10,0,10,富邦-青埔,2023-01-03,003900360031004e
8222,寶一,10,0,10,富邦-青埔,2023-01-03,003900360031004e
2634,漢翔,12,2,10,富邦-青埔,2023-01-03,003900360031004e
2347,聯強,10,0,10,富邦-青埔,2023-01-03,003900360031004e
2614,東森,11,2,9,富邦-青埔,2023-01-03,003900360031004e
1528,恩德,9,0,9,富邦-青埔,2023-01-03,003900360031004e
0056,元大高股息,9,0,9,富邦-青埔,2023-01-03,003900360031004e
2230,泰茂,8,0,8,富邦-青埔,2023-01-03,003900360031004e
5263,智崴,8,0,8,富邦-青埔,2023-01-03,003900360031004e
6180,橘子,12,4,8,富邦-青埔,2023-01-03,003900360031004e
8261,富鼎,8,0,8,富邦-青埔,2023-01-03,003900360031004e
2002,中鋼,10,2,8,富邦-青埔,2023-01-03,003900360031004e
2014,中鴻,20,13,7,富邦-青埔,2023-01-03,003900360031004e
1342,八貫,16,9,7,富邦-青埔,2023-01-03,003900360031004e
2444,兆勁,6,0,6,富邦-青埔,2023-01-03,003900360031004e
1319,東陽,11,5,6,富邦-青埔,2023-01-03,003900360031004e
2885,元大金,7,1,6,富邦-青埔,2023-01-03,003900360031004e
00637L,元大滬深300正2,22,16,6,富邦-青埔,2023-01-03,003900360031004e
4174,浩鼎,10,4,6,富邦-青埔,2023-01-03,003900360031004e
1717,長興,6,0,6,富邦-青埔,2023-01-03,003900360031004e
2329,華泰,6,0,6,富邦-青埔,2023-01-03,003900360031004e
2355,敬鵬,5,0,5,富邦-青埔,2023-01-03,003900360031004e
2886,兆豐金,5,0,5,富邦-青埔,2023-01-03,003900360031004e
3596,智易,6,1,5,富邦-青埔,2023-01-03,003900360031004e
3228,金麗科,5,0,5,富邦-青埔,2023-01-03,003900360031004e
6239,力成,5,0,5,富邦-青埔,2023-01-03,003900360031004e
00715L,期街口布蘭特正2,214,1,213,富邦-青埔,2023-01-04,003900360031004e
2201,裕隆,195,33,162,富邦-青埔,2023-01-04,003900360031004e
5425,台半,158,27,131,富邦-青埔,2023-01-04,003900360031004e
4114,健喬,108,12,96,富邦-青埔,2023-01-04,003900360031004e
6806,森崴能源,82,15,67,富邦-青埔,2023-01-04,003900360031004e
6180,橘子,53,2,51,富邦-青埔,2023-01-04,003900360031004e
00878,國泰永續高股息,32,2,30,富邦-青埔,2023-01-04,003900360031004e
2615,萬海,37,14,23,富邦-青埔,2023-01-04,003900360031004e
2609,陽明,24,2,22,富邦-青埔,2023-01-04,003900360031004e
3013,晟銘電,20,0,20,富邦-青埔,2023-01-04,003900360031004e
1417,嘉裕,23,4,19,富邦-青埔,2023-01-04,003900360031004e
2481,強茂,17,1,16,富邦-青埔,2023-01-04,003900360031004e
0056,元大高股息,116,100,16,富邦-青埔,2023-01-04,003900360031004e
2884,玉山金,17,2,15,富邦-青埔,2023-01-04,003900360031004e
0050,元大台灣50,13,0,13,富邦-青埔,2023-01-04,003900360031004e
2359,所羅門,26,15,11,富邦-青埔,2023-01-04,003900360031004e
4127,天良,11,0,11,富邦-青埔,2023-01-04,003900360031004e
00893,國泰智能電動車,10,0,10,富邦-青埔,2023-01-04,003900360031004e
3231,緯創,10,0,10,富邦-青埔,2023-01-04,003900360031004e
9907,統一實,10,0,10,富邦-青埔,2023-01-04,003900360031004e
1609,大亞,11,2,9,富邦-青埔,2023-01-04,003900360031004e
2002,中鋼,8,0,8,富邦-青埔,2023-01-04,003900360031004e
1618,合機,13,6,7,富邦-青埔,2023-01-04,003900360031004e
1444,力麗,10,3,7,富邦-青埔,2023-01-04,003900360031004e
2886,兆豐金,6,0,6,富邦-青埔,2023-01-04,003900360031004e
2614,東森,6,0,6,富邦-青埔,2023-01-04,003900360031004e
8996,高力,7,1,6,富邦-青埔,2023-01-04,003900360031004e
1514,亞力,10,4,6,富邦-青埔,2023-01-04,003900360031004e
2327,國巨,5,0,5,富邦-青埔,2023-01-04,003900360031004e
6190,萬泰科,5,0,5,富邦-青埔,2023-01-04,003900360031004e
6643,M31,5,0,5,富邦-青埔,2023-01-04,003900360031004e
2888,新光金,5,0,5,富邦-青埔,2023-01-04,003900360031004e
8255,朋程,5,0,5,富邦-青埔,2023-01-04,003900360031004e
3596,智易,5,0,5,富邦-青埔,2023-01-04,003900360031004e
6111,大宇資,6,1,5,富邦-青埔,2023-01-04,003900360031004e
00752,中信中國50,4,0,4,富邦-青埔,2023-01-04,003900360031004e
8171,天宇,13,9,4,富邦-青埔,2023-01-04,003900360031004e
1760,寶齡富錦,4,0,4,富邦-青埔,2023-01-04,003900360031004e
2641,正德,4,0,4,富邦-青埔,2023-01-04,003900360031004e
2368,金像電,6,2,4,富邦-青埔,2023-01-04,003900360031004e
3705,永信,6,2,4,富邦-青埔,2023-01-04,003900360031004e
3508,位速,6,2,4,富邦-青埔,2023-01-04,003900360031004e
2637,慧洋-KY,5,1,4,富邦-青埔,2023-01-04,003900360031004e
