Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
5009,榮剛,193,1,192,元大-忠孝,2023-01-03,9871
2317,鴻海,156,27,129,元大-忠孝,2023-01-03,9871
1303,南亞,80,2,78,元大-忠孝,2023-01-03,9871
1605,華新,128,58,70,元大-忠孝,2023-01-03,9871
6285,啟��,69,0,69,元大-忠孝,2023-01-03,9871
6443,元晶,77,19,58,元大-忠孝,2023-01-03,9871
00632R,元大台灣50反1,45,0,45,元大-忠孝,2023-01-03,9871
6806,森崴能源,55,15,40,元大-忠孝,2023-01-03,9871
1720,生達,66,27,39,元大-忠孝,2023-01-03,9871
00916,國泰全球品牌50,36,0,36,元大-忠孝,2023-01-03,9871
2002,中鋼,32,2,30,元大-忠孝,2023-01-03,9871
6183,關貿,29,0,29,元大-忠孝,2023-01-03,9871
2328,廣宇,30,3,27,元大-忠孝,2023-01-03,9871
6202,盛群,28,1,27,元大-忠孝,2023-01-03,9871
2634,漢翔,59,33,26,元大-忠孝,2023-01-03,9871
00885,富邦越南,27,4,23,元大-忠孝,2023-01-03,9871
2330,台積電,28,7,21,元大-忠孝,2023-01-03,9871
2881,富邦金,21,1,20,元大-忠孝,2023-01-03,9871
6155,鈞寶,19,0,19,元大-忠孝,2023-01-03,9871
1734,杏輝,53,34,19,元大-忠孝,2023-01-03,9871
2609,陽明,39,20,19,元大-忠孝,2023-01-03,9871
00637L,元大滬深300正2,255,237,18,元大-忠孝,2023-01-03,9871
2603,長榮,51,35,16,元大-忠孝,2023-01-03,9871
00902,中信電池及儲能,15,0,15,元大-忠孝,2023-01-03,9871
1101,台泥,15,0,15,元大-忠孝,2023-01-03,9871
2610,華航,21,7,14,元大-忠孝,2023-01-03,9871
3479,安勤,43,29,14,元大-忠孝,2023-01-03,9871
2204,中華,14,0,14,元大-忠孝,2023-01-03,9871
00635U,期元大S＆P黃金,13,0,13,元大-忠孝,2023-01-03,9871
1711,永光,11,0,11,元大-忠孝,2023-01-03,9871
6234,高僑,16,5,11,元大-忠孝,2023-01-03,9871
1795,美時,22,11,11,元大-忠孝,2023-01-03,9871
00679B,元大美債20年,11,0,11,元大-忠孝,2023-01-03,9871
2891,中信金,11,0,11,元大-忠孝,2023-01-03,9871
1712,興農,10,0,10,元大-忠孝,2023-01-03,9871
6666,羅麗芬-KY,11,1,10,元大-忠孝,2023-01-03,9871
4564,元翎,10,0,10,元大-忠孝,2023-01-03,9871
2606,裕民,10,0,10,元大-忠孝,2023-01-03,9871
3083,網龍,14,4,10,元大-忠孝,2023-01-03,9871
1477,聚陽,15,5,10,元大-忠孝,2023-01-03,9871
5371,中光電,13,4,9,元大-忠孝,2023-01-03,9871
1301,台塑,14,6,8,元大-忠孝,2023-01-03,9871
3310,佳穎,8,0,8,元大-忠孝,2023-01-03,9871
3702,大聯大,10,2,8,元大-忠孝,2023-01-03,9871
2409,友達,42,35,7,元大-忠孝,2023-01-03,9871
9904,寶成,8,1,7,元大-忠孝,2023-01-03,9871
6245,立端,10,4,6,元大-忠孝,2023-01-03,9871
00905,FT臺灣Smart,6,0,6,元大-忠孝,2023-01-03,9871
2887,台新金,8,2,6,元大-忠孝,2023-01-03,9871
2618,長榮航,14,9,5,元大-忠孝,2023-01-03,9871
2603,長榮,1036,38,998,元大-忠孝,2023-01-04,9871
3027,盛達,285,29,256,元大-忠孝,2023-01-04,9871
2201,裕隆,260,38,222,元大-忠孝,2023-01-04,9871
1605,華新,376,190,186,元大-忠孝,2023-01-04,9871
2317,鴻海,106,14,92,元大-忠孝,2023-01-04,9871
6285,啟��,85,0,85,元大-忠孝,2023-01-04,9871
6235,華孚,75,11,64,元大-忠孝,2023-01-04,9871
2371,大同,52,0,52,元大-忠孝,2023-01-04,9871
2610,華航,53,4,49,元大-忠孝,2023-01-04,9871
00670L,富邦NASDAQ正2,46,0,46,元大-忠孝,2023-01-04,9871
3630,新鉅科,67,25,42,元大-忠孝,2023-01-04,9871
3481,群創,29,1,28,元大-忠孝,2023-01-04,9871
00715L,期街口布蘭特正2,44,16,28,元大-忠孝,2023-01-04,9871
00673R,期元大S＆P原油反1,31,4,27,元大-忠孝,2023-01-04,9871
3310,佳穎,25,0,25,元大-忠孝,2023-01-04,9871
2615,萬海,31,8,23,元大-忠孝,2023-01-04,9871
1304,台聚,22,0,22,元大-忠孝,2023-01-04,9871
8171,天宇,41,19,22,元大-忠孝,2023-01-04,9871
3576,聯合再生,42,21,21,元大-忠孝,2023-01-04,9871
1909,榮成,26,5,21,元大-忠孝,2023-01-04,9871
00725B,國泰投資級公司債,18,0,18,元大-忠孝,2023-01-04,9871
6443,元晶,92,76,16,元大-忠孝,2023-01-04,9871
2637,慧洋-KY,15,0,15,元大-忠孝,2023-01-04,9871
