資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
"1131219","1240","茂生農經","11.62","2.70000000","5.22","1.16"
"1131219","1259","安心","22.95","1.80000000","2.79","0.86"
"1131219","1264","德麥","15.53","14.00000000","4.49","3.53"
"1131219","1268","漢來美食","17.43","7.00000000","4.70","2.85"
"1131219","1294","漢田生技","13.96","4.00000000","4.47","3.14"
"1131219","1336","台翰","13.39","0.41000000","1.65","1.02"
"1131219","1565","精華","16.01","7.00000000","3.51","1.60"
"1131219","1569","濱川","N/A","1.00000000","1.79","2.28"
"1131219","1570","力肯","15.85","1.00000000","3.57","1.47"
"1131219","1580","新麥","11.48","9.00000000","6.23","2.41"
"1131219","1584","精剛","8.65","1.50000000","5.32","1.45"
"1131219","1586","和勤","42.81","0.13033140","0.48","1.44"
"1131219","1591","駿吉-KY","N/A","0","0.00","3.94"
"1131219","1593","祺驊","29.53","1.60000000","4.27","1.15"
"1131219","1595","川寶","N/A","0.99813570","2.02","0.89"
"1131219","1599","宏佳騰","147.62","0","0.00","1.15"
"1131219","1742","台蠟","54.19","0","0.00","1.10"
"1131219","1777","生泰","12.70","3.50000000","3.76","1.69"
"1131219","1781","合世","N/A","0","0.00","2.12"
"1131219","1784","訊聯","75.71","1.41847555","1.78","3.23"
"1131219","1785","光洋科","27.83","1.20013385","1.95","2.69"
"1131219","1788","杏昌","16.71","7.00000000","5.04","2.10"
"1131219","1796","金穎生技","N/A","2.00000000","4.25","2.49"
"1131219","1799","易威","N/A","0","0.00","10.47"
"1131219","1813","寶利徠","N/A","0.50000000","2.72","1.14"
"1131219","1815","富喬","N/A","0","0.00","2.05"
"1131219","2035","唐榮","N/A","0","0.00","2.66"
"1131219","2061","風青","N/A","0","0.00","1.76"
"1131219","2063","世鎧","15.67","4.50000000","13.35","1.52"
"1131219","2064","晉椿","N/A","0","0.00","0.99"
"1131219","2065","世豐","13.92","4.34545793","8.44","1.59"
"1131219","2066","世德","11.78","3.77751226","4.25","1.78"
"1131219","2067","嘉鋼","N/A","0","0.00","1.88"
"1131219","2070","精湛","20.20","1.50000000","2.08","2.84"
"1131219","2073","雄順","40.65","0.60000000","2.14","1.76"
"1131219","2221","大甲","17.18","1.30000000","4.45","1.25"
"1131219","2230","泰茂","18.60","0.93861079","0.83","5.06"
"1131219","2235","謚源","20.96","2.50000000","5.45","1.28"
"1131219","2596","綠意","156.15","1.00000000","2.46","2.11"
"1131219","2640","大車隊","15.20","6.00000000","4.74","3.90"
"1131219","2641","正德","9.13","0.48155935","2.69","0.79"
"1131219","2643","捷迅","10.92","5.00000000","6.69","1.39"
"1131219","2718","全心投控","2.43","3.00000000","3.53","1.45"
"1131219","2719","燦星旅","15.18","0","0.00","4.55"
"1131219","2724","藝舍-KY","14.00","0","0.00","4.93"
"1131219","2726","雅茗-KY","14.01","0","0.00","2.31"
"1131219","2729","瓦城","23.38","11.00000000","5.43","3.17"
"1131219","2732","六角","20.29","6.49655101","6.28","2.44"
"1131219","2734","易飛網","17.90","0","0.00","2.95"
"1131219","2736","富野","N/A","0","0.00","1.06"
"1131219","2740","天蔥","N/A","0","0.00","5.40"
"1131219","2743","山富","11.41","3.00000000","2.94","3.62"
"1131219","2745","五福","9.72","3.50000000","3.32","4.28"
"1131219","2751","王座","16.86","5.00000000","7.45","3.03"
"1131219","2752","豆府","16.97","13.30000000","5.56","5.13"
"1131219","2754","亞洲藏壽司","41.07","1.50000000","1.70","2.47"
"1131219","2755","揚秦","18.85","3.60000000","3.53","3.97"
"1131219","2756","聯發國際","32.38","4.50000000","6.02","3.42"
"1131219","2916","滿心","12.97","4.00000000","8.11","2.12"
"1131219","2924","宏太-KY","N/A","0","0.00","2.71"
"1131219","2926","誠品生活","113.93","0","0.00","3.98"
"1131219","2937","集雅社","12.00","2.00000000","5.29","1.59"
"1131219","2941","米斯特","19.77","3.18161143","5.17","2.62"
"1131219","2947","振宇五金","25.46","1.30000000","1.56","2.14"
"1131219","2948","寶陞","23.07","3.31428571","6.84","1.43"
"1131219","2949","欣新網","20.50","2.50000000","3.19","1.96"
"1131219","3064","泰偉","248.33","0","0.00","9.01"
"1131219","3066","李洲","19.12","0","0.00","1.56"
"1131219","3067","全域","N/A","0","0.00","2.08"
"1131219","3071","協禧","42.42","1.03000000","3.79","2.00"
"1131219","3073","天方能源","107.14","0","0.00","4.27"
"1131219","3078","僑威","13.55","4.80000000","7.07","2.35"
"1131219","3081","聯亞","N/A","0.49997330","0.14","8.73"
"1131219","3083","網龍","51.45","0","0.00","2.73"
"1131219","3085","新零售","N/A","0","0.00","3.51"
"1131219","3086","華義","139.91","1.50000004","0.98","11.70"
"1131219","3088","艾訊","15.61","4.29279723","4.05","2.48"
"1131219","3093","港建*","27.32","1.80000000","6.79","3.91"
"1131219","3095","及成","25.82","0","0.00","4.53"
"1131219","3105","穩懋","31.83","0","0.00","1.29"
"1131219","3114","好德","30.65","1.20000000","4.66","1.09"
